ID,Nome,Ano,Duracao,Metascore,Generos,Qtd votos,IMDB,Qtd atores,Estrela de cinema,Companhia(s) produtora(s),Distribuicao,idioma original,colecao de filmes,oscars indicados,oscars ganhos,Qtd filmes anteriores ator princ.
1,Um Sonho de Liberdade,1994,142,80.0,drama,2474674,93,54,T,Castle Rock,Columbia,en,F,7,0,20.0
2,Konjaku monogatari: The new edition,2007,88,,comedia,500,10,15,F,outros,outros,jp,T,0,0,1.0
3,Os Fantasmas se Divertem,1988,92,70.0,comedia,277293,75,13,T,outros,Warner Bros.,en,F,1,1,2.0
4,Star Trek,2009,127,92.0,acao,590806,79,88,F,outros,Paramount,en,T,4,1,8.0
5,O Rei Leao,1994,88,88.0,animacao,987061,85,23,F,Walt Disney,Buena Vista,en,T,4,2,9.0
6,R.I.P.D. - Agentes do Alem,2013,96,25.0,acao,124891,56,20,T,outros,Universal,en,F,0,0,34.0
7,Bernardo e Bianca,1977,78,74.0,animacao,61148,69,8,F,Walt Disney,Buena Vista,en,F,1,0,5.0
8,Cinderella,2015,95,67.0,aventura,169139,69,38,F,Walt Disney,Walt Disney,en,F,1,0,8.0
9,Todos os Caes Merecem o Ceu,1989,84,50.0,animacao,39697,68,30,F,outros,outros,en,T,0,0,12.0
10,Kaye Ballard - The Show Goes On,2019,90,,biografia,190,100,29,T,outros,outros,en,F,0,0,36.0
11,Apenas Amigos,2005,96,47.0,comedia,111150,62,52,T,outros,outros,en,F,0,0,16.0
12,Operacao Baba,2005,95,30.0,acao,91343,56,76,T,Walt Disney,Buena Vista,en,F,0,0,6.0
13,Encontro Marcado,1998,178,43.0,drama,227565,72,28,T,outros,Universal,en,F,0,0,23.0
14,Zathura: Uma Aventura Espacial,2005,101,67.0,acao,98995,62,11,F,outros,Columbia,en,F,0,0,3.0
15,MIB: Homens de Preto,1997,98,71.0,acao,537432,73,45,T,outros,Columbia,en,T,5,3,19.0
16,Harry Potter e a Pedra Filosofal,2001,152,64.0,aventura,702565,76,52,T,Heyday,Warner Bros.,en,T,3,0,1.0
17,O Senhor dos Aneis: O Retorno do Rei,2003,201,94.0,acao,1715375,89,52,F,outros,New Line,en,T,11,11,15.0
18,Megamente,2010,95,63.0,animacao,241603,73,19,T,DreamWorks,Paramount,en,F,0,0,36.0
19,O Aprendiz de Feiticeiro,2010,109,46.0,acao,157519,61,36,T,Walt Disney,Walt Disney,en,F,0,0,60.0
20,O Ultimo Samurai,2003,154,55.0,acao,416713,77,48,T,outros,Warner Bros.,en,F,4,0,31.0
21,Salvando o Natal,2014,79,18.0,comedia,15570,14,47,F,outros,outros,en,F,0,0,5.0
22,A Mumia,1999,124,48.0,acao,408243,70,25,F,outros,Universal,en,T,1,0,5.0
23,Operação Cupido,1998,128,64.0,aventura,128359,66,48,T,Walt Disney,Buena Vista,en,F,0,0,0.0
24,Dirty Dancing: Ritmo Quente,1987,100,65.0,drama,215603,70,33,F,outros,outros,en,F,1,1,3.0
25,"Nanny McPhee, a Baba Encantada",2005,97,59.0,comedia,72226,66,21,T,Universal,Universal,en,F,0,0,19.0
26,Vestida para Casar,2008,111,47.0,comedia,158991,61,33,F,Spyglass,20th Century Fox,en,F,0,0,17.0
27,Uma Noite no Museu,2006,108,48.0,aventura,328375,64,39,T,Ingenious,20th Century Fox,en,F,0,0,45.0
28,Diary of a Cannibal,2007,81,,crime,864,15,16,F,outros,Lions Gate,en,F,0,0,1.0
29,Venom: Tempo de Carnificina,2021,97,47.0,acao,32542,64,49,F,columbia,Sony,en,T,0,0,27.0
30,Alone in the Dark: O Despertar do Mal,2005,99,9.0,acao,45097,24,32,F,outros,outros,en,T,0,0,25.0
