ID,Nome,Ano,Duracao,Metascore,Generos,Qtd votos,IMDB,Qtd atores,Estrela de cinema,Companhia(s) produtora(s),Distribuicao,idioma original,colecao de filmes,oscars indicados,oscars ganhos,Qtd filmes anteriores ator princ.
1,Um Sonho de Liberdade,1994,142,80,drama,2474674,93,54,T,Castle Rock,Columbia,en,F,7,0,20
2,Konjaku monogatari: The new edition,2007,88,,"comedia, drama",500,10,15,F,,,jp,T,0,0,1
3,Os Fantasmas se Divertem,1988,92,70,"comedia, fantasia",277293,75,13,T,Geffen ,Warner Bros.,en,F,1,1,2
4,Star Trek,2009,127,92,"acao, aventura, sci-fi",590806,79,88,F,Spyglass,Paramount,en,T,4,1,8
5,O Rei Leao,1994,88,88,"animacao, aventura, drama",987061,85,23,F,Walt Disney,Buena Vista,en,T,4,2,9
6,R.I.P.D. - Agentes do Alem,2013,96,25,"acao, aventura, comedia",124891,56,20,T,Dark Horse,Universal,en,F,0,0,34
7,Bernardo e Bianca,1977,78,74,"animacao, aventura, comedia",61148,69,8,F,Walt Disney,Buena Vista,en ,F,1,0,5
8,Cinderella,2015,95,67,"aventura, drama, familia",169139,69,38,F,Walt Disney,Walt Disney,en,F,1,0,8
9,Todos os Caes Merecem o Ceu,1989,84,50,"animacao, comedia, drama",39697,68,30,F,,United Artists,en,T,0,0,12
10,Kaye Ballard - The Show Goes On,2019,90,,biografia,190,100,29,T,Jim-Dandy Films,,en,F,0,0,36
11,Apenas Amigos,2005,96,47,"comedia, romance",111150,62,52,T,New Line Cinema,,en,F,0,0,16
12,Operacao Baba,2005,95,30,"acao, comedia, drama",91343,56,76,T,Walt Disney,Buena Vista,en,F,0,0,6
13,Encontro Marcado,1998,178,43,"drama, fantasia, romance",227565,72,28,T,City Light ,Universal,en,F,0,0,23
14,Zathura: Uma Aventura Espacial,2005,101,67,"acao, aventura, comedia",98995,62,11,F,,Columbia,en,F,0,0,3
15,MIB: Homens de Preto,1997,98,71,"acao, aventura, comedia",537432,73,45,T,Amblin ,Columbia,en,T,5,3,19
16,Harry Potter e a Pedra Filosofal,2001,152,64,"aventura, familia, fantasia",702565,76,52,T,Heyday ,Warner Bros.,en,T,3,0,1
17,O Senhor dos Aneis: O Retorno do Rei,2003,201,94,"acao, aventura, drama",1715375,89,52,F,WingNut ,New Line,en,T,11,11,15
